date, pm25, pm10, o3, no2, so2, co
16-04-21,120, , , , , 
15-04-21,124,88,19,4,14,10
14-04-21, ,89,14,4,16,9
13-04-21, , ,12,6,19, 
12-04-21,107, ,12,6,19, 
11-04-21,107,85,15,6,20,10
10-04-21,104,85,17,6,20,10
09-04-21,158,84,17,6,20,10
08-04-21,120,79,17,6,17,10
07-04-21,115,80,21,5,20,14
06-04-21,87,80,38,6,23,16
05-04-21,111,82,45,6,23,15
04-04-21,87,80,40,6,23,12
03-04-21,123,76,46,6,23,9
02-04-21,128,77,39,5,19,10
01-04-21,122,78,31,4,17,13
31-03-21,146,88,54,4,20,18
30-03-21,132,95,21,5,17,18
29-03-21,132,92,19,5,17,18
28-03-21,132,92,21,5,17,20
27-03-21,131,92,18,5,17,25
26-03-21,179,91,20,5,16,23
25-03-21,145,98,18,5,16,21
24-03-21,132,89,16,5,16,25
23-03-21, ,82,14,5,16,20
09-03-21,110, , , , , 
08-03-21,86,88,11,4,10,15
07-03-21,74,81,9,3,10,19
06-03-21,110,78,7,3,10,19
05-03-21,145,75,10,4,12,13
04-03-21,135,79,10,5,13,25
03-03-21,117,74,11,5,13,17
02-03-21,87,67,11,5,12,18
01-03-21,147,56,8,3,10,19
28-02-21,170,52,8,3,10,19
27-02-21,70,52,6,3,9,18
26-02-21,81,50,6,2,9,14
25-02-21, ,66,6,3,10,12
12-02-21,39, , , , , 
11-02-21,41,46,4, ,7,23
10-02-21,41,46,4, ,7,24
09-02-21,34,46,4, ,7,25
08-02-21,28,45,4, ,6,19
07-02-21,27,45,4, ,5,19
06-02-21,36,45,4, ,6,17
05-02-21,32,46,4, ,6,18
04-02-21,37,45,4, ,6,17
03-02-21,34,46,4, ,7,21
02-02-21,32,45,4, ,6,20
01-02-21,34,45,4, ,6,19
31-01-21,34,45,4, ,6,19
30-01-21,33,45,4, ,7,23
29-01-21,37,45,4, ,6,20
28-01-21, ,46,4, ,6,18
27-01-21,32, , , , , 
26-01-21,34,45,4, ,6,19
25-01-21,36,46,4, ,6,17
24-01-21,33,45,4, ,6,17
23-01-21,34,45,4, ,7,17
22-01-21,35,45,4, ,7,18
21-01-21,41,46,4, ,7,17
20-01-21,30,45,4, ,6,16
19-01-21,39,45,4, ,7,19
18-01-21,28,45,4, ,7,18
17-01-21,40,45,4, ,7,15
16-01-21,33,46,4, ,7,18
15-01-21,26,46,4, ,7,16
14-01-21, ,56,4, ,7,15
13-01-21, ,46,4, ,7,16
12-01-21, ,46,4, ,7,17
11-01-21, ,46,4, ,7,18
10-01-21, ,46,4, ,7,17
09-01-21, ,46,4, ,7,17
08-01-21,48,46,4, ,7,16
07-01-21,46,44,4, ,7,18
06-01-21,40,46,4, ,7,16
05-01-21,42,46,4, ,7,16
04-01-21,40,45,4, ,7,15
03-01-21,37,46,4, ,7,16
02-01-21,39,46,4, ,7,15
01-01-21,41,45,4, ,7,16
31-12-20,44,46,4, ,7,17
30-12-20,39,45,4, ,7,18
29-12-20,38,46,4, ,7,16
28-12-20,21,47,4, ,7,15
27-12-20,42,45,4, ,7,14
26-12-20,45,45,4, ,7,15
25-12-20,37,286,4, ,7,18
24-12-20,58, ,4, ,7,17
23-12-20,29, ,4, ,8,14
22-12-20,61, ,4, ,7,18
21-12-20,34,68,4, ,7,15
20-12-20,40, ,4, ,7,14
19-12-20,43, ,4, ,7,15
18-12-20,53, ,4, ,8,16
17-12-20,71, ,4, ,8,15
16-12-20, , ,4, ,8,14
15-12-20,139, ,4, ,8,14
14-12-20, , ,4, ,7,13
13-12-20, , ,4, ,7,14
12-12-20,58, ,4, ,8,13
11-12-20,93, ,4, ,8,13
10-12-20,49, ,4, ,7,14
09-12-20,40, ,4, ,7,14
08-12-20,37, ,4, ,7,16
07-12-20,47, ,4, ,7,16
06-12-20,44, ,4, ,7,15
05-12-20,34, ,4, ,7,14
04-12-20, , ,4, ,7,17
03-12-20, , ,4, ,7,15
02-12-20, , ,4, ,7,14
01-12-20, , ,4, ,7,13
30-11-20, , ,4, ,7,13
29-11-20,11, , , , , 
28-11-20,31, ,4, ,7,13
27-11-20,36, ,4, ,6,13
26-11-20,65, ,4, ,7,14
25-11-20,67, ,4, ,7,14
24-11-20,62, ,4, ,7,15
23-11-20,57, ,4, ,7,12
22-11-20,88, ,4, ,7,14
21-11-20,94, ,4, ,7,12
20-11-20,98, ,4, ,7,13
19-11-20,110, ,4, ,7,12
18-11-20,131, ,4, ,7,12
17-11-20,137, ,4, ,7,16
16-11-20,120, ,4, ,7,18
15-11-20,125, ,4, ,8,17
14-11-20,122, ,4, ,8,17
13-11-20,118, ,4, ,8,19
12-11-20,132, ,4, ,8,20
11-11-20,143, ,4, ,7,17
10-11-20,129, ,4, ,7,19
09-11-20,124, ,4, ,7,19
08-11-20,116, ,4, ,8,19
07-11-20,123, ,4, ,7,18
06-11-20,111, ,4, ,8,18
05-11-20,126, ,4, ,8,18
04-11-20,127, ,4, ,8,19
03-11-20,132, ,4, ,8,19
02-11-20,119, ,4, ,8,17
01-11-20,101, ,4, ,8,19
31-10-20,108, ,4, ,8,17
30-10-20,110, ,4, ,8,18
29-10-20,114, ,4, ,8,15
28-10-20,109, ,4, ,8,15
27-10-20,119, ,4, ,8,16
26-10-20,90, ,4, ,8,17
25-10-20,77, ,4, ,8,14
24-10-20,81, ,4, ,8,13
23-10-20,73, ,4, ,8,14
22-10-20,79, ,4, ,8,15
21-10-20,69, ,4, ,8,15
20-10-20,67, ,4, ,8,12
19-10-20,54, ,4, ,8,12
18-10-20,51, ,4, ,8,11
17-10-20,60, ,4, ,8,12
16-10-20,60, ,4, ,8,14
15-10-20,49, ,4, ,8,16
14-10-20,163, ,4, ,8,13
13-10-20,86, ,4, ,14,16
12-10-20,68, ,4, ,8,14
11-10-20,77, ,82,1,8,14
10-10-20,105, ,4, ,8,14
09-10-20,97, ,4, ,8,15
08-10-20,72, ,4, ,8,15
07-10-20,97, ,4, ,8,12
06-10-20, , ,4, ,7,12
03-10-20,82, , , , , 
02-10-20,65, ,4, ,8,12
01-10-20,51, ,4, ,8,12
30-09-20,75, ,4, ,8,11
29-09-20,59, ,4, ,8,12
28-09-20,59, ,4, ,8,13
27-09-20,42, ,4, ,8,12
26-09-20,33, ,4, ,8,11
25-09-20,151, ,4, ,8,10
24-09-20,47, ,4, ,14,20
23-09-20,20, ,4, ,7,13
22-09-20,51, ,4, ,7,11
21-09-20,58, ,4, ,7,14
20-09-20,46, ,4, ,8,14
19-09-20,47, ,4, ,8,13
18-09-20,46, ,4, ,8,13
17-09-20,38, ,4, ,8,14
16-09-20,35, ,4, ,7,13
15-09-20,33, ,4, ,8,12
14-09-20,40, ,4, ,8,12
13-09-20,28, ,4, ,7,11
12-09-20,37, ,4, ,7,10
11-09-20,61, ,4, ,7,13
10-09-20,43, ,4, ,8,13
09-09-20,50, ,4, ,7,12
08-09-20,43, ,4, ,7,11
07-09-20,36, ,4, ,7,11
06-09-20,94, ,4, ,7,12
05-09-20,70,57,4, ,8,12
04-09-20,67,43,4, ,8,12
03-09-20,47,38,4, ,10,12
02-09-20,50,31,4, ,7,11
01-09-20,40,40,4, ,7,12
31-08-20,29,24,4, ,7,11
30-08-20,27,20,4, ,6,9
29-08-20,28,19,4, ,7,10
28-08-20,24,14,4, ,7,10
27-08-20,25,16,4, ,7,10
26-08-20,28,18,4, ,7,9
25-08-20,33,20,4, ,7,10
24-08-20,32,21,4, ,7,9
23-08-20,31,21,4, ,7,9
22-08-20,30,19,4, ,7,9
21-08-20,25,21,4, ,7,9
20-08-20,27,19,4, ,7,9
19-08-20,26,21,4, ,7,10
18-08-20,32,19, , , , 
17-08-20, ,26,4, ,7,10
16-08-20,1, , , , , 
15-08-20, ,31,4, ,8,9
12-08-20,31, , , , , 
11-08-20,32,24,4, ,7,9
10-08-20,36,29,4, ,7,9
09-08-20,38,28,4, ,7,9
08-08-20,34,33,4, ,7,9
07-08-20,34,29,4, ,7,9
06-08-20,23,27,4, ,7,9
05-08-20,27,17,4, ,7,9
04-08-20, ,20,4, ,8,9
25-07-20,48, , , , , 
24-07-20,38,25,4, , ,11
23-07-20,31,27,4, , ,10
22-07-20,35,22,4, , ,9
21-07-20,38,24,4, , ,9
20-07-20,35,27,4, , ,9
19-07-20,36,28,4, , ,9
18-07-20,39,28,4, , ,9
17-07-20,32,27,4, , ,9
16-07-20,22,24,4, , ,10
15-07-20,24,14,4, , ,9
14-07-20,29,16,4, , ,9
13-07-20,29,20,4, , ,10
12-07-20,29,23,4, , ,9
11-07-20,35,19,4, , ,9
10-07-20,32,25,4, , ,8
09-07-20,35,26,4, , ,8
08-07-20,33,30,4, , ,8
07-07-20,31,33,4, , ,8
06-07-20,39,31,4, , ,8
05-07-20,32,34,4, , ,8
04-07-20,20,29,4, , ,8
03-07-20,22,15,4, , ,8
02-07-20,28,12,4, , ,8
01-07-20,30,19,4, , ,8
30-06-20,22,19,4, , ,9
29-06-20,24,16,4, , ,8
28-06-20,42,20,4, , ,8
27-06-20,49,28,4, , ,8
26-06-20,40,40,4, , ,8
25-06-20,43,28,4, , ,8
24-06-20,37,28,4, , ,8
23-06-20,39,21,4, , ,8
22-06-20,46,26,4, , ,9
21-06-20,38,39,4, , ,8
20-06-20,43,33,4, , ,8
19-06-20,54,34,4, , ,8
18-06-20,38,40,4, , ,9
17-06-20,49,27,4, , ,9
16-06-20,31,16,4, , ,9
15-06-20,30,19,4, , ,8
14-06-20,34,23,4, , ,8
13-06-20,32,18,4, , ,8
12-06-20,40,17,4, , ,8
11-06-20,35,20,4, , ,8
10-06-20,37,24,4, ,1,8
09-06-20,37,24,4, ,4,8
08-06-20,35,21,4, ,4,8
07-06-20,36,23,4, ,4,8
06-06-20,40,23,4, ,4,8
05-06-20, ,29,4, ,4,8
01-06-20,41, , , , , 
31-05-20,55,32,4, , ,8
30-05-20,71,38,4, , ,10
29-05-20,26,42,4, , ,8
28-05-20,137,19,4, , ,6
27-05-20,90,68,4,1,10,5
26-05-20,138,72,4,1,7,4
25-05-20,116,76,3,1,12,4
24-05-20,124,64,3,5,12,4
23-05-20,116,74,4,1,10,4
22-05-20,116,68,4,2,10,4
21-05-20,136,65,4,3,13,4
20-05-20,124,74,4,6,14,4
19-05-20,121,70,3,5,13,4
18-05-20,109,68,3,3,12,4
17-05-20,117,61,3,3,12,4
16-05-20,135,64,4, ,12,5
15-05-20,116,78,4, ,10,5
14-05-20,100,60,4, ,12,5
13-05-20,103,43,4, ,17,5
12-05-20,95,40, , ,41,7
11-05-20,97,37, , ,38,7
10-05-20,109,44, , ,33,9
09-05-20,104,43, , ,45,7
08-05-20,106,51, , ,41,7
07-05-20,111,44, , ,35,7
06-05-20,100,43, , ,36,8
05-05-20,96,38, , ,41,7
04-05-20,100,44, , ,40,7
03-05-20,101,39, , ,37,8
02-05-20,104,44, , ,36,8
01-05-20,105,38, , ,34,8
30-04-20,116,44, , ,33,8
29-04-20,99,43, , ,33,8
28-04-20,93,38, , ,33,9
27-04-20,97,37, , ,31,9
26-04-20,98,42, , ,32,9
25-04-20,100,44, , ,30,9
24-04-20,116,41, , ,26,9
